src_ip,dst_ip,src_port,dst_port,num_packets,iat_min,iat_max,iat_mean,pkt_size_min,pkt_size_max,pkt_size_mean,total_bytes,syn_count,rst_count,fin_count
172.67.140.134,150.121.89.151,443,55684,6,2.1457672119140625e-06,0.1551661491394043,0.03106541633605957,54,54,54,324,0,0,0
172.104.238.161,203.77.123.137,12089,614,1,0,0,0,54,54,54,54,1,0,0
3.120.10.250,150.121.76.35,50535,32001,1,0,0,0,54,54,54,54,1,0,0
204.31.53.105,203.77.82.59,443,4123,2,0.0006461143493652344,0.0006461143493652344,0.0006461143493652344,66,66,66,132,0,0,0
163.226.73.51,162.159.147.41,1946,443,1,0,0,0,54,54,54,54,0,0,0
72.14.79.223,202.235.221.27,53363,3388,1,0,0,0,58,58,58,58,1,0,0
185.65.127.218,203.77.125.147,53231,80,1,0,0,0,54,54,54,54,1,0,0
89.43.81.203,150.121.148.173,40786,5432,1,0,0,0,54,54,54,54,1,0,0
91.28.58.109,163.226.3.166,58382,65,1,0,0,0,54,54,54,54,1,0,0
185.24.33.252,133.131.171.92,58312,8037,1,0,0,0,54,54,54,54,1,0,0
172.105.154.95,202.235.223.81,49036,3388,1,0,0,0,58,58,58,58,1,0,0
13.39.33.80,202.235.221.231,54834,1337,1,0,0,0,54,54,54,54,1,0,0
3.115.194.179,150.121.50.226,42813,96,1,0,0,0,54,54,54,54,1,0,0
167.94.144.79,202.101.49.228,45936,1194,3,0.06186509132385254,0.2381150722503662,0.14999008178710938,54,74,60.666666666666664,182,1,1,0
183.211.84.89,150.121.8.6,55628,443,3,2.1457672119140625e-06,0.1155848503112793,0.057793498039245605,66,74,71.33333333333333,214,0,0,0
71.254.235.246,133.131.67.41,58889,135,1,0,0,0,58,58,58,58,1,0,0
202.235.221.27,72.14.79.223,3388,53363,1,0,0,0,54,54,54,54,0,1,0
185.24.33.252,133.131.121.81,50919,8037,1,0,0,0,54,54,54,54,1,0,0
133.152.124.245,23.216.46.165,62224,443,8,4.0531158447265625e-06,0.0063669681549072266,0.0027145658220563617,54,66,55.5,444,1,0,1
